[[0.0017670796, 0.8976735, 0.44065806, 0.0], [-0.9970454, 0.035421837, -0.068160325, 0.0], [-0.07679464, -0.43923566, 0.89508367, 0.0], [0.030955376, -0.004905059, -0.4163996, 1.0]]
[[0.0005339496, 0.8974988, 0.44101644, 0.0], [-0.9970398, 0.034384765, -0.06876826, 0.0], [-0.0768837, -0.4396743, 0.89486045, 0.0], [0.031008068, -0.0048876577, -0.4163638, 1.0]]
[[0.006052638, 0.92260593, 0.3856962, 0.0], [-0.997677, 0.031742923, -0.06027447, 0.0], [-0.06785269, -0.3844354, 0.9206549, 0.0], [0.029277297, -0.003933669, -0.41411492, 1.0]]
[[0.010890456, 0.9317056, 0.36305124, 0.0], [-0.9975162, 0.0353912, -0.060902596, 0.0], [-0.06959211, -0.3614862, 0.9297768, 0.0], [0.028883493, -0.0029983046, -0.41342852, 1.0]]
[[0.018746907, 0.9560326, 0.29266042, 0.0], [-0.99750406, 0.037813585, -0.05962851, 0.0], [-0.06807333, -0.2908121, 0.9543554, 0.0], [0.02724207, -0.0049758493, -0.40883505, 0.99999994]]
[[0.01789953, 0.96298236, 0.26896918, 0.0], [-0.99785006, 0.034168698, -0.05592764, 0.0], [-0.06304765, -0.26738983, 0.96152365, 0.0], [0.026482305, -0.007146383, -0.4072688, 0.99999994]]
[[0.03063797, 0.9787241, 0.20287976, 0.0], [-0.99797076, 0.04128793, -0.048470598, 0.0], [-0.05581579, -0.20098305, 0.97800326, 0.0], [0.023890467, -0.009744932, -0.40449557, 1.0]]
[[0.03084835, 0.979522, 0.19896024, 0.0], [-0.9978928, 0.041550063, -0.049838386, 0.0], [-0.057084594, -0.1970036, 0.97873944, 0.0], [0.024298806, -0.0106312195, -0.40419495, 0.99999994]]
[[0.030146725, 0.9819981, 0.18646967, 0.0], [-0.9982876, 0.038936686, -0.043656655, 0.0], [-0.050131284, -0.18483427, 0.9814901, 0.0], [0.02441219, -0.013605296, -0.4037587, 1.0]]
[[0.03136074, 0.9824692, 0.1837686, 0.0], [-0.9983717, 0.039555244, -0.041095827, 0.0], [-0.047644388, -0.18218064, 0.98210996, 0.0], [0.0238633, -0.014103956, -0.4030918, 0.99999994]]
[[0.033583514, 0.9813512, 0.18926768, 0.0], [-0.998605, 0.040669132, -0.033677354, 0.0], [-0.040746674, -0.18787262, 0.9813479, 0.0], [0.022522032, -0.014826478, -0.4028275, 1.0]]
[[0.0328335, 0.9812778, 0.18977785, 0.0], [-0.9984996, 0.040530395, -0.036818475, 0.0], [-0.043820936, -0.18828423, 0.98113656, 0.0], [0.02269742, -0.0147282835, -0.4032413, 0.9999999]]
[[0.036967423, 0.9851606, 0.16760738, 0.0], [-0.9985638, 0.042925037, -0.032061327, 0.0], [-0.03878013, -0.16618137, 0.9853325, 0.0], [0.02122935, -0.012575884, -0.4017725, 1.0]]
[[0.039509457, 0.98701304, 0.15570512, 0.0], [-0.998466, 0.045046397, -0.032192487, 0.0], [-0.03878839, -0.15419438, 0.9872789, 0.0], [0.020936904, -0.01166394, -0.40138927, 0.9999999]]
[[0.036085125, 0.9978032, 0.055557273, 0.0], [-0.9986528, 0.03807863, -0.035251137, 0.0], [-0.037289187, -0.054210376, 0.997833, 0.0], [0.020377968, -0.008755999, -0.40012527, 1.0]]
[[0.03548436, 0.9987351, 0.035623085, 0.0], [-0.9987081, 0.03673551, -0.035104234, 0.0], [-0.036368474, -0.03433142, 0.9987486, 0.0], [0.020214412, -0.007921333, -0.40029252, 0.9999999]]
[[0.04269746, 0.99885267, -0.021688836, 0.0], [-0.99835014, 0.04182166, -0.03934457, 0.0], [-0.038392417, 0.023332952, 0.9989904, 0.0], [0.019674862, -0.0069014337, -0.39897755, 1.0]]
[[0.043684606, 0.9984562, -0.034306083, 0.0], [-0.99846786, 0.042466093, -0.035478987, 0.0], [-0.03396735, 0.035803396, 0.9987813, 0.0], [0.019626787, -0.006677307, -0.39870784, 0.99999994]]
[[0.049616423, 0.9943194, -0.09416611, 0.0], [-0.99849707, 0.04718497, -0.02787553, 0.0], [-0.023273995, 0.09540766, 0.9951663, 0.0], [0.018612929, -0.004645219, -0.3965367, 1.0]]
[[0.050586063, 0.9925893, -0.110488065, 0.0], [-0.9983668, 0.047317274, -0.032010984, 0.0], [-0.026545778, 0.11192692, 0.9933617, 0.0], [0.018767333, -0.00427402, -0.39653638, 1.0]]
[[0.049047995, 0.9845792, -0.16792366, 0.0], [-0.9984722, 0.04404986, -0.03336329, 0.0], [-0.025451766, 0.16930345, 0.9852355, 0.0], [0.018222036, -0.0034463918, -0.39680198, 1.0]]
[[0.04705165, 0.9828444, -0.17833406, 0.0], [-0.9985414, 0.041547634, -0.034475576, 0.0], [-0.026474753, 0.17969607, 0.9833659, 0.0], [0.018122848, -0.0028005065, -0.39665705, 0.9999999]]
[[0.04682038, 0.9754914, -0.21499924, 0.0], [-0.9983073, 0.038261376, -0.04380242, 0.0], [-0.03450274, 0.21668611, 0.9756315, 0.0], [0.017705573, -0.0020146652, -0.39683375, 1.0]]
[[0.046467267, 0.9728146, -0.22687599, 0.0], [-0.99805784, 0.035780393, -0.050993983, 0.0], [-0.041489992, 0.22880487, 0.9725877, 0.0], [0.018473163, -0.0021659741, -0.3973186, 1.0000001]]
[[0.036932956, 0.9589392, -0.28119674, 0.0], [-0.99874544, 0.025900075, -0.04285265, 0.0], [-0.033810075, 0.28242674, 0.9586929, 0.0], [0.018075593, -0.0013413712, -0.39612463, 1.0]]
[[0.03468629, 0.9568642, -0.288458, 0.0], [-0.99865603, 0.022063354, -0.046897788, 0.0], [-0.038510464, 0.28969708, 0.9563434, 0.0], [0.018478151, -0.0015182333, -0.39613765, 1.0]]
[[0.034037117, 0.9619452, -0.2711142, 0.0], [-0.9989229, 0.024185643, -0.03959654, 0.0], [-0.03153265, 0.27216998, 0.9617324, 0.0], [0.018322166, -0.0024344607, -0.39508614, 1.0]]
[[0.03395971, 0.9631624, -0.2667678, 0.0], [-0.9989687, 0.024664609, -0.03811806, 0.0], [-0.030134156, 0.2677872, 0.9630068, 0.0], [0.018385027, -0.0028663136, -0.3952915, 1.0]]
[[0.030601328, 0.9653693, -0.25908694, 0.0], [-0.99897647, 0.020901682, -0.04011076, 0.0], [-0.033306334, 0.2600492, 0.9650208, 0.0], [0.018830273, -0.0039417846, -0.3958617, 0.99999994]]
[[0.02991749, 0.966606, -0.2545156, 0.0], [-0.99902564, 0.02064944, -0.039009284, 0.0], [-0.032451, 0.2554346, 0.9662818, 0.0], [0.01885547, -0.0041511906, -0.39594615, 1.0]]
[[0.012418806, 0.98304415, -0.18294829, 0.0], [-0.99974996, 0.008804084, -0.020557119, 0.0], [-0.018597834, 0.18315788, 0.9829075, 0.0], [0.017893076, -0.009087929, -0.3939223, 1.0]]
[[0.008151829, 0.98826265, -0.15254602, 0.0], [-0.99981093, 0.005361826, -0.018692063, 0.0], [-0.017654732, 0.15266955, 0.9881195, 0.0], [0.01799308, -0.010681881, -0.39388457, 0.9999999]]
[[-0.00768441, 0.9995299, 0.029681051, 0.0], [-0.9997903, -0.0071162446, -0.01920078, 0.0], [-0.018980503, -0.029822387, 0.999375, 0.0], [0.017349688, -0.019507112, -0.3956328, 0.9999999]]
[[-0.004578438, 0.99881744, 0.048402987, 0.0], [-0.99973243, -0.0034747424, -0.022861656, 0.0], [-0.02266643, -0.04849473, 0.9985662, 0.0], [0.017264515, -0.019553015, -0.3959299, 1.0]]
[[0.02300282, 0.9897023, 0.1412807, 0.0], [-0.9994531, 0.026122877, -0.020269034, 0.0], [-0.023750978, -0.1407372, 0.98976195, 0.0], [0.016014041, -0.017790312, -0.3976713, 0.99999994]]
