[[0.083126344, 0.9959797, 0.033384535, 0.0], [-0.9869644, 0.08691419, -0.13545327, 0.0], [-0.13781025, -0.021689596, 0.9902212, 0.0], [0.045749605, 0.010726709, -0.47175407, 1.0]]
[[0.083712816, 0.9959557, 0.032618154, 0.0], [-0.9871356, 0.087357044, -0.13390797, 0.0], [-0.13621588, -0.020988742, 0.9904565, 0.0], [0.045828495, 0.0109271305, -0.4718523, 1.0]]
[[0.08144316, 0.99567693, 0.044660304, 0.0], [-0.9875407, 0.08666905, -0.13134542, 0.0], [-0.1346483, -0.033406686, 0.99033016, 0.0], [0.046747264, 0.010446755, -0.47131085, 0.9999999]]
[[0.079728544, 0.99544513, 0.0522699, 0.0], [-0.98667884, 0.08626857, -0.13792187, 0.0], [-0.14180289, -0.04057729, 0.98906296, 0.0], [0.04807601, 0.010054777, -0.471285, 0.9999999]]
[[0.06999749, 0.99480724, 0.073885776, 0.0], [-0.98903877, 0.07886306, -0.12483211, 0.0], [-0.13001072, -0.06433797, 0.9894229, 0.0], [0.04808653, 0.008073994, -0.47369397, 1.0]]
[[0.069133654, 0.9944215, 0.07966652, 0.0], [-0.9894771, 0.07852595, -0.12152797, 0.0], [-0.12710589, -0.0704265, 0.98938584, 0.0], [0.047464877, 0.007680687, -0.47380114, 1.0]]
[[0.06591431, 0.9945523, 0.08075024, 0.0], [-0.98857987, 0.07608022, -0.13008268, 0.0], [-0.13551754, -0.07125377, 0.9882093, 0.0], [0.045874003, 0.0068137655, -0.47441715, 0.99999994]]
[[0.06595248, 0.9943812, 0.08280228, 0.0], [-0.98783904, 0.076776765, -0.13520081, 0.0], [-0.14079848, -0.07287852, 0.9873523, 0.0], [0.045502618, 0.0066073393, -0.474426, 1.0]]
[[0.06735053, 0.99446654, 0.0806238, 0.0], [-0.98395246, 0.07958561, -0.15969846, 0.0], [-0.16523129, -0.0685742, 0.983868, 0.0], [0.04458493, 0.0069151716, -0.47464326, 1.0]]
[[0.067938134, 0.9946442, 0.07788919, 0.0], [-0.983183, 0.08001057, -0.16416202, 0.0], [-0.16951486, -0.06542646, 0.98335344, 0.0], [0.045088578, 0.007098076, -0.47457626, 1.0]]
