[[0.02578813, 0.99739444, 0.06737684, 0.0], [-0.9984952, 0.028962573, -0.046570648, 0.0], [-0.04840073, -0.06607446, 0.9966404, 0.0], [0.022169502, 0.0037629316, -0.5475692, 1.0]]
[[0.018785356, 0.99797624, 0.06074948, 0.0], [-0.9990329, 0.0211518, -0.038548626, 0.0], [-0.039755557, -0.05996657, 0.99740845, 0.0], [0.02065163, -0.0012892509, -0.5483693, 1.0]]
[[0.01429772, 0.99804467, 0.0608443, 0.0], [-0.99876297, 0.017153077, -0.046668418, 0.0], [-0.04762081, -0.060101796, 0.9970556, 0.0], [0.022062698, -0.0005512484, -0.55072284, 1.0]]
[[0.021719344, 0.99478835, 0.099622935, 0.0], [-0.9986538, 0.026282148, -0.04471919, 0.0], [-0.04710444, -0.09851754, 0.9940199, 0.0], [0.022802787, 0.0011156399, -0.5522507, 1.0]]
[[0.01899916, 0.99371743, 0.11029429, 0.0], [-0.9983169, 0.024900567, -0.05237758, 0.0], [-0.054794874, -0.109113514, 0.99251807, 0.0], [0.023738572, 0.002430361, -0.5530667, 1.0]]
[[0.026966266, 0.9912526, 0.12919272, 0.0], [-0.9984517, 0.032998025, -0.044777054, 0.0], [-0.04864847, -0.12778525, 0.9906079, 0.0], [0.021968113, 0.0045160633, -0.5543735, 0.9999999]]
[[0.034453463, 0.99100405, 0.12932064, 0.0], [-0.9984308, 0.03984608, -0.039345816, 0.0], [-0.044144753, -0.12776212, 0.9908218, 0.0], [0.02064035, 0.0047006877, -0.55339897, 0.9999999]]
[[0.03913678, 0.98762774, 0.15185493, 0.0], [-0.9976568, 0.047156032, -0.04957049, 0.0], [-0.056118082, -0.1495591, 0.9871589, 0.0], [0.020144014, 0.0020470656, -0.55140954, 1.0]]
[[0.037372842, 0.9867493, 0.15788993, 0.0], [-0.9977894, 0.045536585, -0.04840693, 0.0], [-0.054955263, -0.15573178, 0.98626935, 0.0], [0.019854225, 0.001801863, -0.55163586, 1.0]]
[[0.04081851, 0.9841645, 0.17249477, 0.0], [-0.9975954, 0.049820248, -0.048180904, 0.0], [-0.05601165, -0.17011335, 0.98383147, 0.0], [0.019262549, 0.0039342465, -0.55263144, 1.0]]
[[0.042149674, 0.9840745, 0.17268665, 0.0], [-0.9975406, 0.051137988, -0.047934126, 0.0], [-0.05600165, -0.17024155, 0.98380965, 0.0], [0.018906597, 0.0043699997, -0.55291605, 1.0]]]
