[[0.056609925, 0.995924, 0.07021858, 0.0], [-0.95415163, 0.033262152, 0.2974696, 0.0], [0.2939214, -0.0838389, 0.95214564, 0.0], [0.0626985, 0.006308142, -0.3569493, 0.99999994]]
[[0.05614054, 0.99610835, 0.06794261, 0.0], [-0.949348, 0.03218509, 0.31257355, 0.0], [0.30917048, -0.08204923, 0.94746053, 0.0], [0.063928746, 0.0069479896, -0.35650304, 0.99999994]]
[[0.05337245, 0.99703795, 0.05537608, 0.0], [-0.94106406, 0.03167322, 0.3367425, 0.0], [0.33399117, -0.0700852, 0.93996704, 0.0], [0.06818167, 0.010552274, -0.3592384, 1.0000001]]
[[0.057486754, 0.9969326, 0.053109933, 0.0], [-0.9337814, 0.034872398, 0.35614097, 0.0], [0.35319644, -0.07006644, 0.93292177, 0.0], [0.06906587, 0.011144723, -0.35944164, 1.0]]
[[0.0556004, 0.9962424, 0.06640594, 0.0], [-0.9152069, 0.024265053, 0.40225318, 0.0], [0.3991303, -0.083140604, 0.91311693, 0.0], [0.07064886, 0.013924648, -0.36047363, 1.0]]
[[0.056620166, 0.99602705, 0.068735436, 0.0], [-0.9146092, 0.02413841, 0.40361768, 0.0], [0.40035477, -0.085718945, 0.91234225, 0.0], [0.07069063, 0.014229548, -0.36079818, 1.0000001]]
[[0.06502336, 0.99487597, 0.0774191, 0.0], [-0.907092, 0.026595348, 0.42009127, 0.0], [0.41587967, -0.097542, 0.9041735, 0.0], [0.072044626, 0.013736646, -0.3623042, 0.99999994]]
[[0.063499324, 0.9945068, 0.0832118, 0.0], [-0.9059308, 0.022465013, 0.42282957, 0.0], [0.4186373, -0.10223352, 0.9023808, 0.0], [0.07306646, 0.013579747, -0.36194786, 0.99999994]]
[[0.05328354, 0.9957426, 0.0752166, 0.0], [-0.9104573, 0.017504994, 0.41323224, 0.0], [0.41015607, -0.09049998, 0.907514, 0.0], [0.07556579, 0.01089545, -0.36047682, 1.0000001]]
[[0.055862293, 0.9956829, 0.07412626, 0.0], [-0.91064286, 0.020367192, 0.41269198, 0.0], [0.4094007, -0.09055646, 0.9078493, 0.0], [0.075798124, 0.011720321, -0.3606038, 0.9999999]]
[[0.06200617, 0.9952234, 0.07540347, 0.0], [-0.91372687, 0.02620706, 0.40548286, 0.0], [0.40157002, -0.09404062, 0.9109872, 0.0], [0.074933305, 0.012292252, -0.36091396, 1.0]]
[[0.06581581, 0.9946928, 0.07908661, 0.0], [-0.91388166, 0.028268201, 0.40499532, 0.0], [0.40061018, -0.09893093, 0.9108919, 0.0], [0.074532904, 0.012365702, -0.36057195, 1.0]]
