[[0.045964688, 0.99830717, 0.035638917, 0.0], [-0.99697864, 0.04808149, -0.061009094, 0.0], [-0.062619336, -0.03272696, 0.99750084, 0.0], [0.0009796389, -0.0007055048, -0.39763787, 1.0]]
[[0.045829166, 0.9979423, 0.04484498, 0.0], [-0.99869585, 0.044760317, 0.024555663, 0.0], [0.02249782, -0.045911863, 0.9986921, 0.0], [0.004601703, 0.00065703, -0.39365533, 0.99999994]]
[[0.046626735, 0.99785423, 0.045965258, 0.0], [-0.99775654, 0.044310465, 0.050184343, 0.0], [0.048039902, -0.048202068, 0.99768156, 0.0], [0.005565, 0.0006575941, -0.39220536, 0.9999999]]
[[0.045394752, 0.9979675, 0.044720303, 0.0], [-0.99187905, 0.03970334, 0.12082817, 0.0], [0.11880705, -0.049842108, 0.9916655, 0.0], [0.011105692, -0.00056927575, -0.38656425, 0.9999999]]
[[0.04596149, 0.9979332, 0.044907372, 0.0], [-0.99001896, 0.03950925, 0.1352819, 0.0], [0.13322803, -0.050676916, 0.98978883, 0.0], [0.012285556, -0.00073851564, -0.3855113, 1.0]]
[[0.051487606, 0.99816215, 0.031954665, 0.0], [-0.98268425, 0.044934567, 0.1797569, 0.0], [0.17799069, -0.040656596, 0.98319185, 0.0], [0.0151548665, 7.8043755e-05, -0.3837986, 1.0]]
[[0.0543855, 0.99816984, 0.026441038, 0.0], [-0.9806984, 0.04841542, 0.1894383, 0.0], [0.18781154, -0.036233377, 0.98153657, 0.0], [0.015632385, 0.0004556502, -0.38354585, 1.0]]
[[0.057474673, 0.99820876, 0.016615277, 0.0], [-0.97790766, 0.05293977, 0.20222242, 0.0], [0.20098065, -0.027870871, 0.97919863, 0.0], [0.016750703, 0.0020036746, -0.38317376, 1.0]]
[[0.056282043, 0.9982915, 0.015694272, 0.0], [-0.9775472, 0.051901866, 0.20422482, 0.0], [0.20306128, -0.026836079, 0.9787983, 0.0], [0.016562909, 0.0022717814, -0.38301608, 1.0]]
[[0.054893542, 0.9982246, 0.023110293, 0.0], [-0.9809454, 0.049594432, 0.18784638, 0.0], [0.18636677, -0.032981493, 0.98192644, 0.0], [0.015653765, 0.0028033676, -0.38406244, 0.9999999]]
[[0.05213086, 0.9983924, 0.022245519, 0.0], [-0.98323405, 0.047416214, 0.17607409, 0.0], [0.17473625, -0.031051448, 0.98412555, 0.0], [0.015245446, 0.0025916381, -0.3846505, 0.9999999]]
[[0.055123866, 0.9979426, 0.032735776, 0.0], [-0.9897005, 0.050271787, 0.13403532, 0.0], [0.13211389, -0.039787162, 0.9904357, 0.0], [0.011958824, 0.002923252, -0.3855265, 1.0]]
[[0.05792004, 0.9978458, 0.030806502, 0.0], [-0.9908492, 0.053690776, 0.12383491, 0.0], [0.121914074, -0.03769713, 0.9918246, 0.0], [0.010925255, 0.002963718, -0.38521934, 1.0000001]]
[[0.062497493, 0.9973917, 0.036108777, 0.0], [-0.99612075, 0.060090467, 0.06428659, 0.0], [0.06194911, -0.039986458, 0.9972779, 0.0], [0.009624291, 0.0033019043, -0.38862845, 1.0]]
[[0.061463904, 0.9972403, 0.04164092, 0.0], [-0.99647874, 0.058926377, 0.059645906, 0.0], [0.057027593, -0.04516038, 0.9973505, 0.0], [0.010647766, 0.0021776238, -0.39022464, 1.0]]
[[0.028943961, 0.9982076, 0.052381728, 0.0], [-0.99938, 0.027847243, 0.021547342, 0.0], [0.020050038, -0.05297291, 0.9983947, 0.0], [0.018073557, -0.00080591167, -0.3971309, 1.0]]
[[0.026172027, 0.99795383, 0.058336534, 0.0], [-0.99962896, 0.025686208, 0.009062424, 0.0], [0.007545444, -0.058552064, 0.9982559, 0.0], [0.017745329, -0.0001577894, -0.3976065, 0.9999999]]
[[0.033947993, 0.99725646, 0.065780856, 0.0], [-0.99918324, 0.03530938, -0.019644603, 0.0], [-0.02191336, -0.065060236, 0.9976408, 0.0], [0.014957341, 0.006341878, -0.39938435, 1.0]]
[[0.035794172, 0.9970094, 0.06849166, 0.0], [-0.999143, 0.03712768, -0.018296368, 0.0], [-0.020784544, -0.067778066, 0.99748385, 0.0], [0.013437424, 0.008395949, -0.39928326, 1.0]]
